id,label,name,description,source,page,category
LAW-01,Law,法第3条,"児童扶養手当法における「母」「父」「養育者」及び児童の定義を規定する条文",manual,2,法律
LAW-02,Law,法第3条第3項,"母が児童を懐胎した時に事実婚関係にあった者を「父」とみなす規定",manual,2,法律
LAW-03,Law,法第4条第1項,"積極的要件（支給要件に該当する児童の要件）を規定する条文",manual,2,法律
LAW-04,Law,法第4条第2項,"消極的要件（支給しない場合）を規定する条文",manual,2,法律
LAW-05,Law,法第4条第3項,"母・父・養育者が国内に住所を有しない場合に支給しない旨を規定する条文",manual,2,法律
LAW-06,Law,法第7条,"認定請求及び支給開始月を規定する条文",manual,5,法律
LAW-07,Law,法第7条第2項,"災害等やむを得ない理由による支給開始月の特例を規定する条文",manual,26,法律
LAW-08,Law,法第9条第1項,"所得による支給制限（所得制限限度額表の適用）を規定する条文",manual,65,法律
LAW-09,Law,法第12条,"災害による所得制限の解除を規定する条文",manual,70,法律
LAW-10,Law,法第13条の2,"公的年金給付等受給者の併給調整を規定する条文",manual,71,法律
LAW-11,Law,法第13条の3,"支給開始から5年等経過後の一部支給停止（適用除外事由届）を規定する条文",manual,54,法律
LAW-12,Law,法第14条,"命令違反・虚偽申請時の手当不支給を規定する条文（適正受給）",manual,101,法律
LAW-13,Law,法第15条,"届出義務違反時の手当差止を規定する条文",manual,97,法律
LAW-14,Law,法第28条第1項,"受給資格者の届出義務を規定する条文",manual,97,法律
LAW-15,Law,法第29条第1項,"受給資格・手当額決定のための書類提出命令・質問権限を規定する条文",manual,101,法律
LAW-16,Law,法第30条,"日本年金機構等への照会権限を規定する条文",manual,75,法律
LAW-17,Law,法第31条,"過支給手当の内払調整・返還を規定する条文",manual,98,法律
LAW-18,Law,政令第1条の2,"積極的要件（DV保護命令を含む）の詳細を規定する政令",manual,2,政令
LAW-19,Law,政令第2条,"積極的要件（DV保護命令、父母双方の場合の要件）の詳細を規定する政令",manual,2,政令
LAW-20,Law,政令第5条,"災害特例の対象となる財産の範囲を規定する政令",manual,70,政令
LAW-21,Law,政令第6条の3第2項第6号,"年金子加算による併給調整額の計算方法を規定する政令",manual,72,政令
LAW-22,Law,施行令別表第1,"児童の障害の程度（20歳未満で障害の状態にある者の基準）を規定する別表",manual,3,政令
LAW-23,Law,施行令別表第2,"父又は母の障がいの程度（積極的要件の障がい事由の基準）を規定する別表",manual,51,政令
LAW-24,Law,施行規則第1条,"認定請求・届出に係る添付書類を規定する施行規則条文",manual,15,施行規則
LAW-25,Law,施行規則第2条,"別居監護申立書等、個別事由に応じた添付書類を規定する施行規則条文",manual,46,施行規則
LAW-26,Law,施行規則第3条の2第3項,"災害特例の届出期限（事由発生から14日以内）を規定する施行規則条文",manual,70,施行規則
LAW-27,Law,施行規則第15条,"請求書・届書の所定事項について必要な調査を行うことを規定する施行規則条文",manual,106,施行規則
LAW-28,Law,施行規則第26条第4項,"非常災害時の添付書類省略を規定する施行規則条文",manual,70,施行規則
LAW-29,Law,民法第877条第1項,"扶養義務者（直系血族及び兄弟姉妹）の範囲を規定する民法条文",manual,6,他法令
LAW-30,Law,民法第752条,"夫婦間の扶助義務を規定する民法条文（別居中の実父母の扶養義務者判定に関連）",manual,6,他法令
LAW-31,Law,DV防止法第10条第1項・第10条の2,"配偶者からの暴力の防止及び被害者の保護等に関する法律に基づくDV保護命令を規定する条文",manual,8,他法令
LAW-32,Law,戸籍法施行規則第63条の2,"外国語で作成された書類には訳文を添付しなければならない旨を規定する条文",manual,29,他法令
LAW-33,Law,札幌市債権管理条例施行規則第19条,"返還金の履行延期（分割納付）の資格調書受付を規定する市条例施行規則",manual,98,条例
LAW-34,Law,昭和36年児発第1356号,"父又は母の生死が明らかでない場合及び遺棄の基準を示す通知",manual,8,通知
LAW-35,Law,昭和51年10月1日児企第36号,"「監護」の解釈（同居・別居を問わないこと等）を示す通知",manual,5,通知
LAW-36,Law,昭和55年6月20日児企第25号,"遺棄調書の様式・取扱いを示す通知",manual,20,通知
LAW-37,Law,平成26年11月28日雇児福発1128第2号,"公的年金調書の取扱いを示す通知",manual,18,通知
LAW-38,Law,令和2年10月30日子発1030第1号,"障害基礎年金等受給者の年金子加算差額支給への制度見直しを示す通知",manual,71,通知
LAW-39,Law,令和3年3月分以降の年金併給制度改正通知,"法第13条の2第3項適用による年金併給の所得計算方法見直しを示す通知群",manual,77,通知
LAW-40,Law,平成24年6月21日厚労省課長通知,"外国人に係る認定請求における添付書類の取扱いを示す通知",manual,28,通知
LAW-41,Law,平成27年4月雇児福発0417第1号,"シェアハウス居住者の事実婚判定基準を示す通知",manual,7,通知
LAW-42,Law,昭和60年11月16日児企第37号,"異住登（住民登録と異なる住所地への居住）の取扱いを示す通知",manual,22,通知
LAW-43,Law,令和6年3月28日こども家庭庁事務連絡,"事実婚等の取扱い（生活実態に基づく個別判断）を示す最新の事務連絡",manual,7,通知
ELIG-PR01,Eligibility,婚姻解消,"父母が婚姻を解消した児童（事実婚の解消を含む）",manual,2,積極的要件
ELIG-PR02,Eligibility,死亡,"父又は母が死亡した児童",manual,2,積極的要件
ELIG-PR03,Eligibility,障がい,"父又は母が政令で定める程度の障がいの状態にある児童",manual,2,積極的要件
ELIG-PR04,Eligibility,生死不明,"父又は母の生死が明らかでない児童",manual,2,積極的要件
ELIG-PR05,Eligibility,遺棄,"父又は母が1年以上遺棄している児童",manual,2,積極的要件
ELIG-PR06,Eligibility,DV保護命令,"父又は母が配偶者からのDV保護命令を受けた児童",manual,2,積極的要件
ELIG-PR07,Eligibility,拘禁,"父又は母が1年以上拘禁されている児童",manual,2,積極的要件
ELIG-PR08,Eligibility,未婚懐胎,"母が未婚で懐胎した児童",manual,2,積極的要件
ELIG-NR01,Eligibility,国内住所なし,"児童が日本国内に住所を有しない",manual,2,消極的要件
ELIG-NR02,Eligibility,施設入所里親委託,"児童が施設入所している又は里親に委託されている",manual,2,消極的要件
ELIG-NR03,Eligibility,父母と生計同一,"児童が父又は母と生計同一である（障がい事由は除く）",manual,2,消極的要件
ELIG-NR04,Eligibility,父母配偶者に養育,"児童が父又は母の配偶者に養育されている（障がい事由は除く）",manual,2,消極的要件
ELIG-CL01,Eligibility,母,"対象児童を監護する母。要件は「監護」のみ",manual,2,受給資格者類型
