source,target,relation,source_doc,page
ELIG-CL01,CON-01,REQUIRES,manual,2
ELIG-CL02,CON-01,REQUIRES,manual,2
ELIG-CL02,CON-03,REQUIRES,manual,2
ELIG-CL03,CON-04,REQUIRES,manual,2
ELIG-CL03,CON-02,REQUIRES,manual,6
ELIG-MULTI01,ELIG-CL03,APPLIES_TO,manual,2
ELIG-REQ01,CON-01,DEFINED_AS,manual,5
ELIG-REQ02,CON-02,DEFINED_AS,manual,6
ELIG-REQ03,CON-05,EXCLUDES,manual,7
ELIG-REQ04,CON-14,DEFINED_AS,manual,6
ELIG-PR01,DEC-01,SATISFIES,manual,2
ELIG-PR02,DEC-01,SATISFIES,manual,2
ELIG-PR03,DEC-01,SATISFIES,manual,2
ELIG-PR04,DEC-01,SATISFIES,manual,2
ELIG-PR05,DEC-01,SATISFIES,manual,2
ELIG-PR06,DEC-01,SATISFIES,manual,2
ELIG-PR07,DEC-01,SATISFIES,manual,2
ELIG-PR08,DEC-01,SATISFIES,manual,2
ELIG-PR08,CON-07,RELATED_TO,manual,7
ELIG-NR01,DEC-01,BLOCKS,manual,2
ELIG-NR02,DEC-01,BLOCKS,manual,2
ELIG-NR03,DEC-01,BLOCKS,manual,2
ELIG-NR04,DEC-01,BLOCKS,manual,2
ELIG-NR02,CON-11,RELATED_TO,manual,8
ELIG-NR03,CON-03,RELATED_TO,manual,2
ELIG-NR04,CON-08,RELATED_TO,manual,7
ELIG-CH01,DEC-01,SATISFIES,manual,3
ELIG-CH02,DEC-01,SATISFIES,manual,3
ELIG-CHEX01,DEC-01,BLOCKS,manual,3
ELIG-SP01,ELIG-CL03,PART_OF,manual,3-4
ELIG-SP01,INC-09,APPLIES_TO,manual,3-4
ELIG-SP01,CON-15,DEFINED_AS,manual,3-4
ELIG-SP02,ELIG-CL03,PART_OF,manual,3
ELIG-CL01,DEC-01,LEADS_TO,manual,2
ELIG-CL02,DEC-01,LEADS_TO,manual,2
ELIG-CL03,DEC-01,LEADS_TO,manual,2
DEC-01,ELIG-RIGHT01,RESULTS_IN,manual,5
CON-09,ELIG-CL01,RELATED_TO,manual,2
CON-09,ELIG-CL02,RELATED_TO,manual,2
CON-10,ELIG-CL01,RELATED_TO,manual,8
CON-03,INC-19,RELATED_TO,manual,68
INC-01,INC-04,PART_OF,manual,65
INC-02,INC-04,PART_OF,manual,65
INC-03,INC-04,PART_OF,manual,9
INC-03,INC-21,DEFINED_AS,manual,9-10
INC-10,INC-04,REDUCES,manual,65
INC-11,INC-04,REDUCES,manual,65
INC-12,INC-04,REDUCES,manual,65
INC-13,INC-04,REDUCES,manual,65
INC-14,INC-04,REDUCES,manual,65
INC-15,INC-04,REDUCES,manual,65
INC-16,INC-04,REDUCES,manual,66
INC-20,INC-04,MODIFIES,manual,66
INC-20,RULE-PENSION,RELATED_TO,manual,71
INC-06,INC-05,PART_OF,manual,65
INC-07,INC-05,PART_OF,manual,65
INC-08,INC-05,PART_OF,manual,65
INC-09,INC-05,PART_OF,manual,65
INC-17,INC-06,MODIFIES,manual,65
INC-17,INC-07,MODIFIES,manual,65
INC-22,INC-08,MODIFIES,manual,65
INC-18,INC-06,MODIFIES,manual,67
INC-18,INC-07,MODIFIES,manual,67
INC-04,RULE-BC01,APPLIES_TO,manual,65
INC-04,RULE-BC02,APPLIES_TO,manual,65
INC-04,RULE-BC03,APPLIES_TO,manual,65
INC-06,RULE-BC01,REFERS_TO,manual,65
INC-07,RULE-BC02,REFERS_TO,manual,65
INC-07,RULE-BC03,REFERS_TO,manual,65
INC-08,RULE-BC04,REFERS_TO,manual,65
RULE-BC01,BEN-01,DETERMINES,manual,65
RULE-BC02,BEN-02,DETERMINES,manual,65
RULE-BC03,BEN-03,DETERMINES,manual,65
RULE-BC04,BEN-03,DETERMINES,manual,65
BEN-04,BEN-01,PART_OF,manual,1
BEN-04,BEN-02,PART_OF,manual,1
BEN-04,INC-04,CALCULATED_FROM,manual,65
RULE-PENSION,BEN-05,DETERMINES,manual,71
RULE-PENSION,BEN-03,DETERMINES,manual,71
RULE-BC05,BEN-06,DETERMINES,manual,54
BEN-11,BEN-06,MODIFIES,manual,54
RULE-BC06,BEN-07,DETERMINES,manual,70
RULE-BC01,LAW-08,GOVERNED_BY,manual,65
RULE-BC02,LAW-08,GOVERNED_BY,manual,65
RULE-BC03,LAW-08,GOVERNED_BY,manual,65
RULE-BC04,LAW-08,GOVERNED_BY,manual,65
RULE-BC05,LAW-11,GOVERNED_BY,manual,54
RULE-BC06,LAW-09,GOVERNED_BY,manual,70
RULE-BC06,LAW-20,GOVERNED_BY,manual,70
RULE-BC06,LAW-26,GOVERNED_BY,manual,70
RULE-PENSION,LAW-10,GOVERNED_BY,manual,71
RULE-EV01,LAW-06,GOVERNED_BY,manual,94
RULE-EV01,LAW-13,GOVERNED_BY,manual,97
RULE-EV02,LAW-06,GOVERNED_BY,manual,95
RULE-EV03,LAW-13,GOVERNED_BY,manual,97
RULE-EV03,LAW-14,GOVERNED_BY,manual,97
RULE-EV04,LAW-17,GOVERNED_BY,manual,98
RULE-EV04,LAW-33,GOVERNED_BY,manual,98
RULE-EV05,LAW-17,GOVERNED_BY,manual,100
RULE-EV06,LAW-12,GOVERNED_BY,manual,101
RULE-EV06,LAW-15,GOVERNED_BY,manual,101
ELIG-PR01,LAW-03,GOVERNED_BY,manual,2
ELIG-PR02,LAW-03,GOVERNED_BY,manual,2
ELIG-PR03,LAW-23,GOVERNED_BY,manual,51
ELIG-PR03,LAW-03,GOVERNED_BY,manual,2
ELIG-PR04,LAW-34,GOVERNED_BY,manual,8
ELIG-PR05,LAW-34,GOVERNED_BY,manual,8
ELIG-PR05,LAW-36,GOVERNED_BY,manual,20
ELIG-PR06,LAW-31,GOVERNED_BY,manual,8
ELIG-PR06,LAW-18,GOVERNED_BY,manual,2
ELIG-PR06,LAW-19,GOVERNED_BY,manual,2
ELIG-PR07,LAW-03,GOVERNED_BY,manual,2
ELIG-PR08,LAW-03,GOVERNED_BY,manual,2
ELIG-NR01,LAW-04,GOVERNED_BY,manual,2
ELIG-NR02,LAW-04,GOVERNED_BY,manual,2
ELIG-NR03,LAW-04,GOVERNED_BY,manual,2
ELIG-NR04,LAW-04,GOVERNED_BY,manual,2
ELIG-CL01,LAW-01,GOVERNED_BY,manual,2
ELIG-CL02,LAW-01,GOVERNED_BY,manual,2
ELIG-CL02,LAW-02,GOVERNED_BY,manual,2
ELIG-CL03,LAW-01,GOVERNED_BY,manual,2
ELIG-CH01,LAW-01,GOVERNED_BY,manual,3
ELIG-CH02,LAW-22,GOVERNED_BY,manual,3
ELIG-RIGHT01,LAW-06,GOVERNED_BY,manual,5
ELIG-FOREIGN01,LAW-40,GOVERNED_BY,manual,28
ELIG-FOREIGN01,LAW-32,GOVERNED_BY,manual,29
ELIG-MULTI01,LAW-29,GOVERNED_BY,manual,6
ELIG-RES01,LAW-24,GOVERNED_BY,manual,6
CON-01,LAW-35,GOVERNED_BY,manual,5
CON-05,LAW-41,GOVERNED_BY,manual,7
CON-05,LAW-43,GOVERNED_BY,manual,7
CON-06,LAW-29,GOVERNED_BY,manual,6
CON-06,LAW-30,GOVERNED_BY,manual,6
CON-11,LAW-04,GOVERNED_BY,manual,8
CON-12,LAW-34,GOVERNED_BY,manual,8
CON-13,LAW-34,GOVERNED_BY,manual,8
CON-14,LAW-24,GOVERNED_BY,manual,6
BEN-05,LAW-10,GOVERNED_BY,manual,71
BEN-06,LAW-11,GOVERNED_BY,manual,54
BEN-07,LAW-09,GOVERNED_BY,manual,70
BEN-08,LAW-17,GOVERNED_BY,manual,100
BEN-09,LAW-17,GOVERNED_BY,manual,98
BEN-10,LAW-33,GOVERNED_BY,manual,98
DEC-01,LAW-06,GOVERNED_BY,manual,5
DEC-02,LAW-04,GOVERNED_BY,manual,13-14
DEC-03,LAW-08,GOVERNED_BY,manual,65
DEC-04,LAW-13,GOVERNED_BY,manual,97
DEC-04,LAW-14,GOVERNED_BY,manual,97
DEC-05,LAW-13,GOVERNED_BY,manual,97
DEC-06,LAW-06,GOVERNED_BY,manual,95
DEC-07,LAW-12,GOVERNED_BY,manual,101
DEC-07,LAW-15,GOVERNED_BY,manual,101
DEC-08,LAW-17,GOVERNED_BY,manual,100
DEC-09,LAW-17,GOVERNED_BY,manual,98
DEC-10,LAW-04,GOVERNED_BY,manual,40-48
DEC-01,EVT-01,RESULTS_IN,manual,5
EVT-01,DEC-04,LEADS_TO,manual,97
EVT-01,DEC-10,LEADS_TO,manual,40
DEC-04,EVT-03,RESULTS_IN,manual,97
EVT-03,EVT-04,FOLLOWED_BY,manual,97
DEC-05,EVT-04,RESULTS_IN,manual,97
EVT-03,EVT-02,FOLLOWED_BY,manual,95
DEC-06,EVT-02,RESULTS_IN,manual,95
DEC-10,EVT-02,RESULTS_IN,manual,40-48
DEC-07,BEN-04,MODIFIES,manual,101
EVT-02,EVT-09,LEADS_TO,manual,98
DEC-09,EVT-09,RESULTS_IN,manual,98
EVT-09,EVT-10,FOLLOWED_BY,manual,98
DEC-08,BEN-08,RESULTS_IN,manual,100
DEC-09,BEN-09,RESULTS_IN,manual,98
BEN-10,BEN-09,PART_OF,manual,98
ELIG-NR01,DEC-10,LEADS_TO,manual,40
ELIG-NR02,DEC-10,LEADS_TO,manual,40
ELIG-NR03,DEC-10,LEADS_TO,manual,40
ELIG-NR04,DEC-10,LEADS_TO,manual,40
EVT-06,EVT-05,LEADS_TO,manual,65
EVT-07,EVT-05,LEADS_TO,manual,72
EVT-08,EVT-05,LEADS_TO,manual,72
EVT-07,BEN-05,TRIGGERS,manual,71
EVT-08,BEN-05,TRIGGERS,manual,71
EVT-05,BEN-04,MODIFIES,manual,33
RULE-EV02,DEC-06,DETERMINES,manual,95
RULE-EV03,DEC-04,DETERMINES,manual,97
RULE-EV04,DEC-09,DETERMINES,manual,98
RULE-EV05,DEC-08,DETERMINES,manual,100
RULE-EV06,DEC-07,DETERMINES,manual,101
RULE-EV01,DEC-04,RELATED_TO,manual,94
RULE-EV01,DEC-06,RELATED_TO,manual,94
ELIG-REQ04,LAW-05,GOVERNED_BY,manual,2
DEC-01,LAW-07,GOVERNED_BY,manual,26
RULE-PENSION,LAW-16,GOVERNED_BY,manual,75
RULE-PENSION,LAW-21,GOVERNED_BY,manual,72
CON-04,LAW-25,GOVERNED_BY,manual,46
RULE-EV06,LAW-27,GOVERNED_BY,manual,106
RULE-BC06,LAW-28,GOVERNED_BY,manual,70
RULE-PENSION,LAW-37,GOVERNED_BY,manual,18
BEN-05,LAW-38,GOVERNED_BY,manual,71
RULE-PENSION,LAW-39,GOVERNED_BY,manual,77
EVT-01,EVT-02,PRECEDES,manual,5
EVT-01,EVT-03,PRECEDES,manual,5
EVT-01,EVT-05,PRECEDES,manual,5
EVT-01,EVT-06,PRECEDES,manual,5
EVT-01,EVT-07,PRECEDES,manual,5
EVT-07,EVT-08,FOLLOWED_BY,manual,71
EVT-07,EVT-09,LEADS_TO,manual,71
RULE-ELIG01,DEC-01,DETERMINES,manual,5
RULE-ELIG01,DEC-02,DETERMINES,manual,13-14
RULE-ELIG02,DEC-10,DETERMINES,manual,40-48
RULE-BC03,DEC-03,DETERMINES,manual,65
RULE-BC04,DEC-03,DETERMINES,manual,65
RULE-PENSION,DEC-03,DETERMINES,manual,71
RULE-EV03,DEC-05,DETERMINES,manual,97
RULE-ELIG01,LAW-01,GOVERNED_BY,manual,2
RULE-ELIG01,LAW-03,GOVERNED_BY,manual,2
RULE-ELIG01,LAW-04,GOVERNED_BY,manual,2
